dataset,mode,num_images,psnr_vs_vae,ssim_vs_vae,psnr_vs_raw,ssim_vs_raw,base_psnr_rgb,base_ssim_rgb,base_l1_rgb,base_grad_l1,hf_energy,hf_gain_vs_base_up,hf_error_vs_vae,lf_drift_vs_base
B100,feature_bicubic,100,22.46534296441022,0.5442077693343162,22.321616657729606,0.5374940778315067,24.167723354438444,0.6880328521132469,0.04276480929926038,0.11035371229052543,0.06048647810705006,1.9070924829774645,0.07699918194673955,0.020841457322239874
B100,rf_1step,100,25.516219257004945,0.683449050784111,25.284261241412214,0.6741797485947609,26.73772387392537,0.7973155456781388,0.03253872804343701,0.09041498927399516,0.03577208728063851,1.1353559985921162,0.052958611454814675,0.014323757090605795
Manga109,feature_bicubic,109,21.67920294219781,0.6990950782911494,21.52852802873132,0.6916161122125223,22.83898910914727,0.7939800147069703,0.041394017260829245,0.09651792869655364,0.052670728107658,1.6862705329835364,0.06182148415219346,0.025457946429832266
Manga109,rf_1step,109,26.942509923194805,0.8508620765231071,26.54902779676243,0.838171761517131,27.354755149267866,0.8975518941879272,0.027194889510101683,0.059810823786559456,0.034925226216127564,1.1369016511319388,0.030789734624804707,0.021631818580859843
Set14,feature_bicubic,14,22.713165605290197,0.5895051445279803,22.392854476149946,0.5690899746758598,24.01508718488969,0.7246655417340142,0.04274748731404543,0.10613224389297622,0.055603680067828724,1.7866055249086017,0.07024514914623328,0.023041502705642154
Set14,rf_1step,14,26.160898049457735,0.7320855621780668,25.565365795137673,0.7057487836905888,26.973164951414866,0.829678692987987,0.031582980416715145,0.08252824417182378,0.03368358061249767,1.1065413412164473,0.04602254315146378,0.016536788948412453
Set5,feature_bicubic,5,24.605582031566126,0.6974060893058777,24.35807059646411,0.6844080924987793,25.688725678041862,0.81575688123703,0.03579623699188232,0.08292158097028732,0.04351063780486584,1.7141919328032826,0.051336323469877244,0.02423516158014536
Set5,rf_1step,5,28.475930170783478,0.8300686955451966,28.02395946817064,0.8137028813362122,28.93505682612679,0.8946840763092041,0.024045533686876296,0.05763043835759163,0.027818120270967483,1.068754221415798,0.02937382124364376,0.016935387253761293
Urban100,feature_bicubic,100,20.022126035976147,0.5595140887796879,19.82778506264121,0.5528138349950313,21.663808815640895,0.7094868308305741,0.05447518076747656,0.13562274113297462,0.07639169286936522,1.8009708016331647,0.0974461829662323,0.026017931140959263
Urban100,rf_1step,100,24.113990171936383,0.7488401517271995,23.763717983944826,0.7381460931897164,25.657962829198958,0.8588647776842118,0.03475162222981453,0.09309099083766341,0.04806614609435201,1.1455408300785934,0.05951910272240639,0.016295208064839244
