dataset,sample_id,method,base_psnr_rgb,base_ssim_rgb,base_l1_rgb,base_grad_l1,hf_energy,hf_gain_vs_bicubic
FLUX179_visual5_x2_unpaired,img_0000000,bicubic_x2,47.097027,0.989011,0.002879,0.009193,0.003274,1.0
FLUX179_visual5_x2_unpaired,img_0000000,DecoderFeatureFlowSR RF one-step,36.816918,0.945997,0.011342,0.018096,0.005258,1.606121
FLUX179_visual5_x2_unpaired,img_0000000,LUA x2,37.770187,0.943431,0.009149,0.018619,0.00231,0.705487
FLUX179_visual5_x2_unpaired,img_0000000,LSRNA x2,8.471996,0.352987,0.283173,0.045062,0.006217,1.899105
FLUX179_visual5_x2_unpaired,img_0000001,bicubic_x2,42.898805,0.992833,0.002247,0.00689,0.003571,1.0
FLUX179_visual5_x2_unpaired,img_0000001,DecoderFeatureFlowSR RF one-step,34.440446,0.848008,0.012809,0.015706,0.00403,1.128613
FLUX179_visual5_x2_unpaired,img_0000001,LUA x2,34.770889,0.911048,0.010514,0.015198,0.003452,0.966851
FLUX179_visual5_x2_unpaired,img_0000001,LSRNA x2,8.985575,0.347865,0.266599,0.041312,0.004855,1.359594
FLUX179_visual5_x2_unpaired,img_0000002,bicubic_x2,47.308437,0.992468,0.002416,0.007566,0.003325,1.0
FLUX179_visual5_x2_unpaired,img_0000002,DecoderFeatureFlowSR RF one-step,37.083059,0.964082,0.011103,0.014769,0.004692,1.411186
FLUX179_visual5_x2_unpaired,img_0000002,LUA x2,39.600162,0.966154,0.00771,0.014635,0.002911,0.875441
FLUX179_visual5_x2_unpaired,img_0000002,LSRNA x2,8.078419,0.398694,0.326502,0.036654,0.004051,1.218507
FLUX179_visual5_x2_unpaired,img_0000003,bicubic_x2,36.723425,0.981477,0.006366,0.019974,0.007628,1.0
FLUX179_visual5_x2_unpaired,img_0000003,DecoderFeatureFlowSR RF one-step,30.122239,0.899194,0.015802,0.038376,0.009045,1.185659
FLUX179_visual5_x2_unpaired,img_0000003,LUA x2,29.540881,0.846626,0.018974,0.03774,0.008229,1.078681
FLUX179_visual5_x2_unpaired,img_0000003,LSRNA x2,12.7892,0.408216,0.1752,0.074394,0.012393,1.624604
FLUX179_visual5_x2_unpaired,img_0000004,bicubic_x2,35.655866,0.981651,0.007376,0.021213,0.009234,1.0
FLUX179_visual5_x2_unpaired,img_0000004,DecoderFeatureFlowSR RF one-step,30.458798,0.919014,0.017821,0.037496,0.010108,1.094644
FLUX179_visual5_x2_unpaired,img_0000004,LUA x2,29.71298,0.925476,0.019002,0.034746,0.01231,1.333055
FLUX179_visual5_x2_unpaired,img_0000004,LSRNA x2,10.038193,0.350508,0.244751,0.092192,0.017933,1.941999
